20368444,,PO-9004,2,8003613,In Transit,2,146,11/20/2015,10/22/2015
20368444,,PO-9004,3,CARTONS_CN,,3,2,12/8/2015,
20368445,,PO-9005,1,8003601,In Transit,1,146,11/20/2015,10/22/2015
20368445,,PO-9005,2,8003613,In Transit,2,146,11/20/2015,10/22/2015
20368445,,PO-9005,3,CARTONS_CN,,3,2,12/8/2015,
20368446,,PO-9006,1,8003601,In Transit,1,146,12/4/2015,10/26/2015
20368446,,PO-9006,2,8003613,In Transit,2,146,12/4/2015,10/26/2015
20368446,,PO-9006,3,CARTONS_CN,,3,2,12/15/2015,
20368447,,PO-9007,1,8003601,In Transit,1,146,12/4/2015,10/26/2015
20368447,,PO-9007,2,8003613,In Transit,2,146,12/4/2015,10/26/2015
20368447,,PO-9007,3,CARTONS_CN,,3,2,12/5/2015,
20368448,,PO-9008,1,8003601,In Transit,1,146,12/4/2015,10/26/2015
20368448,,PO-9008,2,8003613,In Transit,2,146,12/4/2015,10/26/2015
20368448,,PO-9008,3,CARTONS_CN,,3,2,12/15/2015,
20368449,,PO-9009,1,8003601,In Transit,1,146,12/4/2015,10/26/2015
20368449,,PO-9009,2,8003613,In Transit,2,146,12/4/2015,10/26/2015
20368449,,PO-9009,3,CARTONS_CN,,3,2,12/15/2015,
20368450,,PO-9010,1,8003601,In Transit,1,146,12/4/2015,10/26/2015
20368450,,PO-9010,2,8003613,In Transit,2,146,12/4/2015,10/26/2015
20368450,,PO-9010,3,CARTONS_CN,,3,2,12/15/2015,
20380739,,PO-9011,1,Prepaid IT Expenses,,1,1,7/7/2015,
20385550,Receiver General,PO-9012,35,CA-E,,,-1,,
20385550,Minister of Finance BC,PO-9012,36,CA-E,,,-1,,
20385567,Receiver General,PO-9013,28,CA-E,,,-1,,
20385567,Minister of Finance BC,PO-9013,29,CA-E,,,-1,,
20385788,Receiver General,PO-9014,35,CA-E,,,-1,,
20385788,Minister of Finance BC,PO-9014,36,CA-E,,,-1,,
20387332,Receiver General,PO-9015,49,CA-E,,,-1,,
20387332,Minister of Finance BC,PO-9015,50,CA-E,,,-1,,
20391157,,PO-9017,1,005-0027,,1,2400,12/12/2015,
20396256,,PO-9021,1,001-4551,,1,390,12/12/2015,
20396257,,PO-9022,1,001-4551,,1,390,12/12/2015,
20403013,,PO-9026,1,CARTONS_CN,In Transit,1,20,9/22/2015,8/29/2015
20403013,,PO-9026,2,CARTONS_CN,In Transit,2,40,9/22/2015,8/29/2015
20412257,,PO-9028,1,SAMPLES - ALL DEPARTMENTS,In Transit,1,1,7/31/2015,7/24/2015
20412257,,PO-9028,2,SAMPLES - ALL DEPARTMENTS,,2,1,7/31/2015,7/24/2015
20426325,,PO-9033,1,Certification,,1,1,7/8/2015,
20426830,,PO-9034,1,Certification,,1,1,7/8/2015,
20430165,,PO-9039,1,Fixed Assets/PPE - NCA,,1,50367.8,7/8/2015,
20430165,,PO-9039,2,Fixed Assets/PPE - NCA,,2,4515.8,7/8/2015,
20430165,,PO-9039,3,Fixed Assets/PPE - NCA,,3,4640,7/8/2015,
20430165,,PO-9039,4,Fixed Assets/PPE - NCA,,4,37130.38,7/8/2015,
20430165,,PO-9039,5,Fixed Assets/PPE - NCA,,5,7602.52,7/8/2015,
20430389,CUS-17000031 Academy Sport,PO-9041,1,100326,,1,108,,
20433721,Receiver General,PO-9042,232,CA-E,,,-1,,
20433721,Minister of Finance BC,PO-9042,233,CA-E,,,-1,,
20433724,,PO-9043,1,100425,,1,1,7/8/2015,
20433724,Receiver General,PO-9043,4,CA-E,,,-1,,
20433724,Minister of Finance BC,PO-9043,5,CA-E,,,-1,,
20433728,,PO-9044,1,SAMPLES - ALL DEPARTMENTS,,1,200,12/5/2015,
20433728,,PO-9044,16,SAMPLES - ALL DEPARTMENTS,,21,200,12/5/2015,
20433728,,PO-9044,17,SAMPLES - ALL DEPARTMENTS,,22,200,12/5/2015,
20433728,,PO-9044,18,SAMPLES - ALL DEPARTMENTS,,23,200,12/5/2015,
20433728,,PO-9044,2,885-0022,,2,200,12/5/2015,
20433728,,PO-9044,3,885-0043,,3,200,12/5/2015,
20433728,,PO-9044,4,004-6294,,4,150,12/5/2015,
20433728,,PO-9044,5,SAMPLES - ALL DEPARTMENTS,,5,100,12/5/2015,
20433728,,PO-9044,6,SAMPLES - ALL DEPARTMENTS,,6,500,12/5/2015,
20433728,,PO-9044,7,SAMPLES - ALL DEPARTMENTS,,7,500,12/5/2015,
20433728,,PO-9044,8,SAMPLES - ALL DEPARTMENTS,,8,100,12/5/2015,
20433728,,PO-9044,10,SAMPLES - ALL DEPARTMENTS,,18,200,12/5/2015,
20433728,,PO-9044,14,SAMPLES - ALL DEPARTMENTS,,19,200,12/5/2015,
20433728,,PO-9044,15,SAMPLES - ALL DEPARTMENTS,,20,200,12/5/2015,
20433728,,PO-9044,11,885-0040,,15,200,12/5/2015,
20433728,,PO-9044,12,885-0039,,16,150,12/5/2015,
20433728,,PO-9044,13,SAMPLES - ALL DEPARTMENTS,,17,500,12/5/2015,
