45783310,Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM51436 DISAN60*HAOJ4TIC,TouchPoint Integrated Communications,Call Center Internal,7/3/2017,7/6/2017,100359 BFX MAX TRAINER M5,1,1346.00
45783313,Bowflex Brand,Bowflex Max Trainer,Online Search,CAM31081 dosg2gl1,TouchPoint Integrated Communications,Web,7/3/2017,7/6/2017,100469 BFX Max Trainer M7,1,1999.00
45783313,Bowflex Brand,Treadclimber,Online Search,CAM31081 dosg2gl1,TouchPoint Integrated Communications,Web,7/3/2017,7/6/2017,10293 TRC Machine Mat,0,.00
45783620,Bowflex Max Trainer,Bowflex Selecttech Dumbbells,Online Shopping,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,Web,7/3/2017,7/6/2017,100131 BFX 552 Dumbbell Kit,1,299.00
45783620,Bowflex Max Trainer,Bowflex Selecttech Dumbbells,Online Shopping,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,Web,7/3/2017,7/6/2017,100131-PS1 BST552 Protection Plan - 1 year (90 days),0,29.00
45783620,Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,Web,7/3/2017,7/6/2017,100469 BFX Max Trainer M7,1,1999.00
45783620,Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,Web,7/3/2017,7/6/2017,100469-PS5 M7 Protection Plan - 5 Years (90 Days),0,209.00
45783620,Bowflex Max Trainer,Treadclimber,Online Shopping,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,Web,7/3/2017,7/6/2017,10293 TRC Machine Mat,0,.00
45783620,Bowflex Max Trainer,Bowflex Selecttech Dumbbells,Online Shopping,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,Web,7/3/2017,7/6/2017,100300 BFX SelectTech Stand,0,139.00
45783620,Bowflex Max Trainer,Bowflex Selecttech Dumbbells,Online Shopping,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,Web,7/3/2017,7/6/2017,100340 BFX 4.1 Bench,0,199.00
45783620,Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,Web,7/3/2017,7/6/2017,IHA-100469 BOWFLEX MAX TRAINER M7 ASSEMBLY,0,169.00
45783924,Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM44429 dosbiesl1,TouchPoint Integrated Communications,Web,7/3/2017,7/6/2017,100359 BFX MAX TRAINER M5,1,1449.00
45784025,Bowflex HVT,Bowflex HVT,Online Shopping,CAM50808 DOFG2HFEED1,TouchPoint Integrated Communications,Web,7/3/2017,7/6/2017,100551 Bowflex HVT,1,1799.00
45784126,Bowflex Max Trainer,Bowflex Max Trainer,Electronic - UnSourced,CAM44626 1800BOWFLEX_BMT,Internal,Call Center Internal,7/3/2017,7/6/2017,100469 BFX Max Trainer M7,1,1999.00
45784126,Bowflex Max Trainer,Treadclimber,Electronic - UnSourced,CAM44626 1800BOWFLEX_BMT,Internal,Call Center Internal,7/3/2017,7/6/2017,10293 TRC Machine Mat,0,.00
45784133,Bowflex Home Gyms,Bowflex Max Trainer,Online Shopping,CAM32062 dofg2gfeed1,TouchPoint Integrated Communications,Web,7/3/2017,7/6/2017,100359 BFX MAX TRAINER M5,1,1449.00
45784133,Bowflex Home Gyms,Bowflex Max Trainer,Online Shopping,CAM32062 dofg2gfeed1,TouchPoint Integrated Communications,Web,7/3/2017,7/6/2017,100359-PS5 M5 Protection Plan - 5 Years (90 Days),0,169.00
45784232,Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Internal,Call Center Internal,7/3/2017,7/6/2017,100359 BFX MAX TRAINER M5,1,1449.00
45784232,Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Internal,Call Center Internal,7/3/2017,7/6/2017,IHA-100359 MAX TRAINER M5 Assembly,0,169.00
45784455,Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM16616 DEGBFBHG,Internal,Web,7/3/2017,7/6/2017,10293 TRC Machine Mat,0,99.00
45784455,Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM16616 DEGBFBHG,Internal,Web,7/3/2017,7/6/2017,100457 BFX TC200 TREADCLIMBER,1,2399.00
45784560,Treadclimber,Bowflex Max Trainer,Electronic - Print,CAM46878 QRTWOMENSWORLD,TouchPoint Integrated Communications,Call Center Internal,7/3/2017,7/6/2017,100359 BFX MAX TRAINER M5,1,1449.00
45784879,Bowflex Max Trainer,Bowflex Max Trainer,Electronic - Short Form,CAM45798 DSEESF14H,TouchPoint Integrated Communications,Web,7/3/2017,7/6/2017,100359 BFX MAX TRAINER M5,1,1449.00
45784879,Bowflex Max Trainer,Bowflex Max Trainer,Electronic - Short Form,CAM45798 DSEESF14H,TouchPoint Integrated Communications,Web,7/3/2017,7/6/2017,100359-PS5 M5 Protection Plan - 5 Years (90 Days),0,169.00
