Product Interest,Market Channel,Ad ID,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Treadclimber,Electronic - UnSourced,CAM40760 ICATHOME,Call Center Internal,6/29/2015,7/5/2015,1,2199.00
Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,6/29/2015,7/5/2015,1,2199.00
Treadclimber,Electronic - UnSourced,CAM40760 ICATHOME,Web,6/29/2015,7/5/2015,2,5498.00
Treadclimber,Un-Sourced,CAM40825 1800TREADCLIMBER,Call Center Internal,7/6/2015,7/6/2015,1,2879.20
Treadclimber,Online Search,CAM4190 SAWICAOSGCT_TRC,Call Center Internal,7/6/2015,7/6/2015,1,2199.00
Treadclimber,Electronic - UnSourced,CAM40760 ICATHOME,Web,7/6/2015,7/6/2015,1,2199.00
Treadclimber,Online Search,CAM30896 SAWICAOSGCT,Call Center Internal,7/6/2015,7/7/2015,2,5498.00
Treadclimber,Online Search,CAM44489 icaosgctml2,Call Center Internal,7/6/2015,7/7/2015,1,2879.20
Treadclimber,Short Form,CAM35680 INTELEMEDIACA,Call Center Internal,7/6/2015,7/8/2015,1,1650.00
Treadclimber,Online Search,CAM36695 icaosgctgl1cat,Call Center Internal,7/6/2015,7/8/2015,1,3299.00
Treadclimber,Un-Sourced,CAM40825 1800TREADCLIMBER,Call Center Internal,7/6/2015,7/8/2015,1,3299.00
Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,7/6/2015,7/8/2015,1,3299.00
Treadclimber,Electronic - UnSourced,CAM40760 ICATHOME,Web,7/6/2015,7/8/2015,1,3299.00
Treadclimber,Online Search,CAM30896 SAWICAOSGCT,Call Center Internal,7/6/2015,7/9/2015,1,2199.00
Treadclimber,Online Search,CAM37608 SAWICAOSBCT,Call Center Internal,7/6/2015,7/9/2015,1,2199.00
Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,7/6/2015,7/9/2015,1,3299.00
Treadclimber,Electronic - UnSourced,CAM40760 ICATHOME,Web,7/6/2015,7/9/2015,1,2199.00
Treadclimber,Electronic - Short Form,CAM47456 ICASTSF15B,Web,7/6/2015,7/9/2015,1,2199.00
Treadclimber,Electronic - UnSourced,CAM132 1800BOWFLEX_CAT,Call Center Internal,7/6/2015,7/10/2015,1,1900.00
Treadclimber,Online Search,CAM30896 SAWICAOSGCT,Call Center Internal,7/6/2015,7/10/2015,1,.00
Treadclimber,Un-Sourced,CAM40825 1800TREADCLIMBER,Call Center Internal,7/6/2015,7/10/2015,1,2219.00
Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,7/6/2015,7/10/2015,1,2199.00
Treadclimber,Online Search,CAM37661 icaosgctsl5,Web,7/6/2015,7/10/2015,1,2591.49
Treadclimber,Electronic - UnSourced,CAM132 1800BOWFLEX_CAT,Call Center Internal,7/6/2015,7/11/2015,1,3299.00
Treadclimber,Online Search,CAM33017 SAWCAOSGCTMOBILE,Call Center Internal,7/6/2015,7/11/2015,1,2199.00
Treadclimber,Online Search,CAM4190 SAWICAOSGCT_TRC,Call Center Internal,7/6/2015,7/11/2015,1,3299.00
Treadclimber,Electronic - UnSourced,CAM132 1800BOWFLEX_CAT,Call Center Internal,7/6/2015,7/12/2015,1,2199.00
Treadclimber,Electronic - UnSourced,CAM40760 ICATHOME,Web,7/6/2015,7/12/2015,1,2199.00
Treadclimber,Electronic - Short Form,CAM47456 ICASTSF15B,Web,7/6/2015,7/12/2015,1,2199.00
Treadclimber,Un-Sourced,CAM40825 1800TREADCLIMBER,Call Center Internal,7/13/2015,7/13/2015,1,2199.00
Treadclimber,Electronic - UnSourced,CAM28491 icat1sitecat,Web,7/13/2015,7/13/2015,1,3299.00
Treadclimber,Electronic - UnSourced,CAM132 1800BOWFLEX_CAT,Call Center Internal,7/13/2015,7/14/2015,1,1750.00
Treadclimber,Online Search,CAM30896 SAWICAOSGCT,Call Center Internal,7/13/2015,7/14/2015,1,.00
Treadclimber,Short Form,CAM35680 INTELEMEDIACA,Call Center Internal,7/13/2015,7/14/2015,2,3398.00
Treadclimber,Online Search,CAM37661 icaosgctsl5,Call Center Internal,7/13/2015,7/14/2015,1,2199.00
Treadclimber,Un-Sourced,CAM40825 1800TREADCLIMBER,Call Center Internal,7/13/2015,7/14/2015,1,1750.00
Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,7/13/2015,7/14/2015,1,3299.00
Treadclimber,Electronic - UnSourced,CAM40760 ICATHOME,Web,7/13/2015,7/14/2015,1,2199.00
Treadclimber,Electronic - UnSourced,CAM28491 icat1sitecat,Call Center Internal,7/13/2015,7/15/2015,1,3299.00
Treadclimber,Short Form,CAM47343 CMT*N120ALOBYTIC,Call Center Internal,7/13/2015,7/15/2015,1,1750.00
Treadclimber,Electronic - UnSourced,CAM40760 ICATHOME,Web,7/13/2015,7/15/2015,1,2199.00
Treadclimber,Electronic - UnSourced,CAM133 1800BOWFLEX_TRC,Call Center Internal,7/13/2015,7/16/2015,1,2399.00
Treadclimber,Online Search,CAM30896 SAWICAOSGCT,Call Center Internal,7/13/2015,7/16/2015,1,3299.00
Treadclimber,Electronic - UnSourced,CAM40760 ICATHOME,Web,7/13/2015,7/16/2015,1,2199.00
