Product Interest,Ad ID,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Bowflex Max Trainer,CAM45628 ICAOSBCESL2,5/5/2015,5/5/2015,5/4/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45628 ICAOSBCESL2,5/6/2015,5/6/2015,5/4/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45628 ICAOSBCESL2,5/7/2015,5/7/2015,5/4/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45628 ICAOSBCESL2,,5/9/2015,5/4/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45628 ICAOSBCESL2,,5/10/2015,5/4/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45633 ICAOSGCEGL1CMT,5/5/2015,5/5/2015,5/4/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45633 ICAOSGCEGL1CMT,,5/5/2015,5/4/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45633 ICAOSGCEGL1CMT,5/6/2015,5/6/2015,5/4/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45633 ICAOSGCEGL1CMT,5/7/2015,5/7/2015,5/4/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45633 ICAOSGCEGL1CMT,,5/7/2015,5/4/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45633 ICAOSGCEGL1CMT,,5/8/2015,5/4/2015,2,Online Search,Web
Bowflex Max Trainer,CAM45633 ICAOSGCEGL1CMT,5/9/2015,5/9/2015,5/4/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45633 ICAOSGCEGL1CMT,,5/9/2015,5/4/2015,3,Online Search,Web
Bowflex Max Trainer,CAM45633 ICAOSGCEGL1CMT,5/10/2015,5/10/2015,5/4/2015,2,Online Search,Web
Bowflex Max Trainer,CAM45633 ICAOSGCEGL1CMT,,5/10/2015,5/4/2015,2,Online Search,Web
Bowflex Max Trainer,CAM45634 ICAOSBCEGL1CMT,,5/7/2015,5/4/2015,1,Online Search,Web
