Treadclimber,CAM38406 SAWDPETPRINT12F,,2/20/2017,2/20/2017,1,Electronic - Print,Call Center Internal
Bowflex Brand,CAM39441 dosbigl1,,2/20/2017,2/20/2017,5,Online Search,Web
Bowflex Catalog,CAM39441 dosbigl1,,2/20/2017,2/20/2017,1,Online Search,Web
Bowflex Home Gyms,CAM39441 dosbigl1,,2/20/2017,2/20/2017,10,Online Search,Web
Bowflex Max Trainer,CAM39441 dosbigl1,,2/20/2017,2/20/2017,7,Online Search,Web
Bowflex Revolution,CAM39441 dosbigl1,,2/20/2017,2/20/2017,1,Online Search,Web
Bowflex Selecttech Dumbbells,CAM39441 dosbigl1,,2/20/2017,2/20/2017,5,Online Search,Web
Treadclimber,CAM39441 dosbigl1,,2/20/2017,2/20/2017,3,Online Search,Web
Bowflex Home Gyms,CAM40819 1800SELECTTECH,,2/20/2017,2/20/2017,1,Un-Sourced,Call Center Internal
Bowflex Catalog,CAM40820 1800BFXCATALOG,2/20/2017,2/20/2017,2/20/2017,1,Un-Sourced,Call Center Internal
Treadclimber,CAM40820 1800BFXCATALOG,,2/20/2017,2/20/2017,1,Un-Sourced,Call Center Internal
Treadclimber,CAM40825 1800TREADCLIMBER,2/20/2017,2/20/2017,2/20/2017,1,Un-Sourced,Call Center Internal
Treadclimber,CAM40825 1800TREADCLIMBER,,2/20/2017,2/20/2017,1,Un-Sourced,Call Center Internal
Treadclimber,CAM43683 dosbitsl14,2/20/2017,2/20/2017,2/20/2017,2,Online Search,Web
Bowflex Max Trainer,CAM44172 dseesf14a,2/20/2017,2/20/2017,2/20/2017,5,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,,2/20/2017,2/20/2017,11,Electronic - Short Form,Web
Treadclimber,CAM44172 dseesf14a,,2/20/2017,2/20/2017,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44213 dseesf14b,2/20/2017,2/20/2017,2/20/2017,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44223 SAWDOSBIE,,2/20/2017,2/20/2017,1,Online Search,Call Center Internal
Treadclimber,CAM44223 SAWDOSBIE,,2/20/2017,2/20/2017,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44230 SAWDOSG2E,2/20/2017,2/20/2017,2/20/2017,1,Online Search,Call Center Internal
Treadclimber,CAM44230 SAWDOSG2E,,2/20/2017,2/20/2017,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44236 SAWMAX,2/20/2017,2/20/2017,2/20/2017,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44429 dosbiesl1,2/20/2017,2/20/2017,2/20/2017,1,Online Search,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,,2/20/2017,2/20/2017,9,Online Search,Web
Treadclimber,CAM44429 dosbiesl1,,2/20/2017,2/20/2017,2,Online Search,Web
Treadclimber,CAM44450 dofbitfeed2,,2/20/2017,2/20/2017,1,Online Shopping,Web
Bowflex Catalog,CAM44497 dosg2esl1,2/20/2017,2/20/2017,2/20/2017,2,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,2/20/2017,2/20/2017,2/20/2017,5,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,,2/20/2017,2/20/2017,36,Online Search,Web
Treadclimber,CAM44497 dosg2esl1,,2/20/2017,2/20/2017,8,Online Search,Web
Bowflex Max Trainer,CAM44539 SAWDOSG2EMOBILE2,2/20/2017,2/20/2017,2/20/2017,1,Online Search,Call Center Internal
Bowflex Catalog,CAM44551 dosg2esl4,2/20/2017,2/20/2017,2/20/2017,1,Online Search,Web
Bowflex Max Trainer,CAM44551 dosg2esl4,2/20/2017,2/20/2017,2/20/2017,1,Online Search,Web
Bowflex Max Trainer,CAM44551 dosg2esl4,,2/20/2017,2/20/2017,1,Online Search,Web
Bowflex Selecttech Dumbbells,CAM44607 PCTCIS0017,,2/20/2017,2/20/2017,1,Print,Call Center Internal
Bowflex Catalog,CAM44887 dofg2efeed1,2/20/2017,2/20/2017,2/20/2017,1,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,2/20/2017,2/20/2017,2/20/2017,3,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,,2/20/2017,2/20/2017,51,Online Shopping,Web
Treadclimber,CAM44887 dofg2efeed1,,2/20/2017,2/20/2017,9,Online Shopping,Web
