Bowflex Max Trainer,CAM48305 JUSTN120JACKDTIC,,1/19/2016,1/18/2016,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM48305 JUSTN120JACKDTIC,1/20/2016,1/20/2016,1/18/2016,2,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM48305 JUSTN120JACKDTIC,1/21/2016,1/21/2016,1/18/2016,2,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM48305 JUSTN120JACKDTIC,1/22/2016,1/22/2016,1/18/2016,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM48305 JUSTN120JACKDTIC,1/23/2016,1/23/2016,1/18/2016,5,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM48305 JUSTN120JACKDTIC,1/23/2016,1/23/2016,1/18/2016,2,Short Form,Third Party Call Center - West
Bowflex Max Trainer,CAM48306 GRITN120JACKDTIC,1/18/2016,1/18/2016,1/18/2016,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM48306 GRITN120JACKDTIC,1/19/2016,1/19/2016,1/18/2016,7,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM48306 GRITN120JACKDTIC,1/19/2016,1/19/2016,1/18/2016,1,Short Form,Third Party Call Center - West
Bowflex Max Trainer,CAM48307 LAFFN120JACKDTIC,1/18/2016,1/18/2016,1/18/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48307 LAFFN120JACKDTIC,1/20/2016,1/20/2016,1/18/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48307 LAFFN120JACKDTIC,1/22/2016,1/22/2016,1/18/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48309 PUREN180JACKDTIC,1/18/2016,1/18/2016,1/18/2016,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM48310 VEL*N180JACKDTIC,1/18/2016,1/18/2016,1/18/2016,7,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48310 VEL*N180JACKDTIC,1/19/2016,1/19/2016,1/18/2016,4,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48310 VEL*N180JACKDTIC,1/20/2016,1/20/2016,1/18/2016,3,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48310 VEL*N180JACKDTIC,1/21/2016,1/21/2016,1/18/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48310 VEL*N180JACKDTIC,1/22/2016,1/22/2016,1/18/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48311 HIS2N180JACKDTIC,1/18/2016,1/18/2016,1/18/2016,2,Short Form,Call Center Internal
