Product Interest,Ad ID,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Bowflex Home Gyms,CAM41258 icaosgcwsl30,7/20/2015,7/20/2015,7/20/2015,5,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,7/21/2015,7/21/2015,7/20/2015,3,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,7/22/2015,7/22/2015,7/20/2015,5,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,7/23/2015,7/23/2015,7/20/2015,1,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,7/24/2015,7/24/2015,7/20/2015,1,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,7/25/2015,7/25/2015,7/20/2015,1,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,7/26/2015,7/26/2015,7/20/2015,2,Online Search,Web
Bowflex Home Gyms,CAM47277 ICAOSGCWSL34,7/20/2015,7/20/2015,7/20/2015,1,Online Search,Web
Bowflex Home Gyms,CAM47278 ICAOSGCWSL35,7/25/2015,7/25/2015,7/20/2015,1,Online Search,Web
Bowflex Home Gyms,CAM45438 ICAOFG2GFEED1,,7/22/2015,7/20/2015,1,Online Shopping,Web
Bowflex Home Gyms,CAM45438 ICAOFG2GFEED1,,7/26/2015,7/20/2015,1,Online Shopping,Web
Bowflex Home Gyms,CAM28157 SALESFOLLOWUP,,7/22/2015,7/20/2015,2,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM28157 SALESFOLLOWUP,,7/24/2015,7/20/2015,1,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM28157 SALESFOLLOWUP,,7/25/2015,7/20/2015,1,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM28157 SALESFOLLOWUP,,7/26/2015,7/20/2015,1,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM128 1800BOWFLEX_CAB,,7/31/2015,7/27/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Home Gyms,CAM28364 icaw1sitecab,7/27/2015,7/27/2015,7/27/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM28364 icaw1sitecab,7/29/2015,7/29/2015,7/27/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM28364 icaw1sitecab,,7/29/2015,7/27/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM28364 icaw1sitecab,7/30/2015,7/30/2015,7/27/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM28364 icaw1sitecab,8/2/2015,8/2/2015,7/27/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM28364 icaw1sitecab,,8/2/2015,7/27/2015,3,Electronic - UnSourced,Web
Bowflex Revolution,CAM28364 icaw1sitecab,,8/2/2015,7/27/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM40739 ICAWHOME,,7/27/2015,7/27/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM40739 ICAWHOME,7/28/2015,7/28/2015,7/27/2015,2,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM40739 ICAWHOME,,7/28/2015,7/27/2015,2,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM40739 ICAWHOME,,7/29/2015,7/27/2015,2,Electronic - UnSourced,Web
Bowflex Revolution,CAM40739 ICAWHOME,,7/29/2015,7/27/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM40739 ICAWHOME,7/30/2015,7/30/2015,7/27/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM40739 ICAWHOME,,7/30/2015,7/27/2015,2,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM40739 ICAWHOME,7/31/2015,7/31/2015,7/27/2015,2,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM40739 ICAWHOME,,7/31/2015,7/27/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM40739 ICAWHOME,,8/1/2015,7/27/2015,2,Electronic - UnSourced,Web
Bowflex Revolution,CAM40739 ICAWHOME,,8/1/2015,7/27/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM40739 ICAWHOME,,8/2/2015,7/27/2015,1,Electronic - UnSourced,Web
Bowflex Revolution,CAM40739 ICAWHOME,,8/2/2015,7/27/2015,1,Electronic - UnSourced,Web
Bowflex Revolution,CAM40758 ICADHOME,,7/27/2015,7/27/2015,1,Online,Call Center Internal
