Product Interest,Market Channel,Ad ID,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Bowflex Home Gyms,Online Display,CAM47260 DODCTOGDL1,Web,8/3/2015,8/6/2015,1,2899.00
Bowflex Home Gyms,Electronic - UnSourced,CAM1154 DEGSAWBFG_BFX,Call Center Internal,8/3/2015,8/7/2015,2,4498.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/3/2015,8/7/2015,3,4797.00
Bowflex Home Gyms,Electronic - Short Form,CAM4210 SAWWEBBF_BFX,Call Center Internal,8/3/2015,8/7/2015,1,1599.00
Bowflex Home Gyms,Electronic - Short Form,CAM5676 SAWWEBBF,Call Center Internal,8/3/2015,8/7/2015,1,2019.00
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,8/3/2015,8/7/2015,2,3228.89
Bowflex Home Gyms,Electronic - UnSourced,CAM1154 DEGSAWBFG_BFX,Call Center Internal,8/3/2015,8/8/2015,1,1499.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/3/2015,8/8/2015,4,6546.00
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,8/3/2015,8/8/2015,1,2899.00
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/3/2015,8/8/2015,2,3537.98
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,8/3/2015,8/8/2015,1,3198.99
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,8/3/2015,8/8/2015,1,1499.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/3/2015,8/9/2015,2,2878.21
Bowflex Home Gyms,Un-Sourced,CAM40821 1800BOWFLEX,Call Center Internal,8/3/2015,8/9/2015,1,1499.00
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/3/2015,8/9/2015,3,4873.00
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,8/3/2015,8/9/2015,7,4930.85
Bowflex Home Gyms,Online Search,CAM37434 dosg2gsl29,Web,8/3/2015,8/9/2015,1,1499.00
Bowflex Home Gyms,Online Search,CAM39440 dosbiggl1bf,Web,8/3/2015,8/9/2015,1,1499.00
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,8/10/2015,8/10/2015,1,1499.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/10/2015,8/10/2015,6,9786.11
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/10/2015,8/10/2015,1,1499.00
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,8/10/2015,8/10/2015,1,2899.00
Bowflex Home Gyms,Online Search,CAM37743 dosbigsl6,Web,8/10/2015,8/10/2015,1,2899.00
Bowflex Home Gyms,Online Search,CAM39440 dosbiggl1bf,Web,8/10/2015,8/10/2015,1,1499.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/10/2015,8/11/2015,10,14940.00
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,8/10/2015,8/11/2015,1,1599.00
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/10/2015,8/11/2015,1,349.00
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,8/10/2015,8/11/2015,3,4747.00
Bowflex Home Gyms,Online Search,CAM39440 dosbiggl1bf,Web,8/10/2015,8/11/2015,1,1499.00
Bowflex Home Gyms,Electronic - UnSourced,CAM1154 DEGSAWBFG_BFX,Call Center Internal,8/10/2015,8/12/2015,3,4497.00
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,8/10/2015,8/12/2015,1,1119.30
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/10/2015,8/12/2015,12,15218.95
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,8/10/2015,8/12/2015,2,4398.00
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/10/2015,8/12/2015,2,4398.00
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,8/10/2015,8/12/2015,1,1499.00
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,8/10/2015,8/13/2015,1,2199.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/10/2015,8/13/2015,11,9875.65
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,8/10/2015,8/13/2015,1,2899.00
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/10/2015,8/13/2015,1,2899.00
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,8/10/2015,8/13/2015,2,3267.99
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/10/2015,8/14/2015,10,8349.95
Bowflex Home Gyms,Electronic - Short Form,CAM29127 SAWWEBREV,Call Center Internal,8/10/2015,8/14/2015,1,2999.00
Bowflex Home Gyms,Electronic - Short Form,CAM5676 SAWWEBBF,Call Center Internal,8/10/2015,8/14/2015,1,1599.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/10/2015,8/15/2015,3,2961.43
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/10/2015,8/15/2015,3,5577.30
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,8/10/2015,8/15/2015,2,2878.20
Bowflex Home Gyms,Online Search,CAM39440 dosbiggl1bf,Web,8/10/2015,8/15/2015,1,2699.10
